100	2625623632	1232423	R	1	root
98.88	2596097702	154739	R1	131567	  cellular organisms
87.39	2294652328	2092600	D	2	    Bacteria
44.57	1170163709	2964259	P	1224	      Proteobacteria
21.43	562717116	1498789	C	1236	        Gammaproteobacteria
6.02	157997096	6282	O	72274	          Pseudomonadales
5.06	132817537	105577	F	135621	            Pseudomonadaceae
4.97	130539684	21948505	G	286	              Pseudomonas
0.9	23513778	1225340	G1	136843	                Pseudomonas fluorescens group
0.36	9414336	5696738	S	294	                  Pseudomonas fluorescens
0.03	674077	674077	S1	1221522	                    Pseudomonas fluorescens NCIMB 11764
0.02	618327	618327	S1	1038922	                    Pseudomonas fluorescens Q2-87
0.02	571204	571204	S1	746360	                    Pseudomonas fluorescens WH6
0.02	531893	531893	S1	216595	                    Pseudomonas fluorescens SBW25
0.02	516891	516891	S1	743713	                    Pseudomonas fluorescens R124
0.01	329080	329080	S1	205922	                    Pseudomonas fluorescens Pf0-1
0.01	303900	303900	S1	1038924	                    Pseudomonas fluorescens SS101
0	88593	88593	S1	1037911	                    Pseudomonas fluorescens A506
0	65075	65075	S1	1334632	                    Pseudomonas fluorescens PICF7
0	16824	16824	S1	1038923	                    Pseudomonas fluorescens Q8r1-96
0	1734	1734	S1	1114970	                    Pseudomonas fluorescens F113
0.07	1742351	1524124	S	380021	                  Pseudomonas protegens
0.01	143461	143461	S1	1420599	                    Pseudomonas protegens Cab57
0	74644	74644	S1	1124983	                    Pseudomonas protegens CHA0
0	122	122	S1	220664	                    Pseudomonas protegens Pf-5
0.06	1479572	1479572	S	47878	                  Pseudomonas azotoformans
0.04	1020469	1020469	S	76758	                  Pseudomonas orientalis
0.04	997911	997911	S	200450	                  Pseudomonas trivialis
0.03	863999	336949	S	47883	                  Pseudomonas synxantha
0.02	527050	527050	S1	96901	                    Pseudomonas synxantha BG33R
0.03	837284	596563	S	75612	                  Pseudomonas mandelii
0.01	240721	240721	S1	1147786	                    Pseudomonas mandelii JR-1
0.03	663137	663137	S	29442	                  Pseudomonas tolaasii
0.02	651991	651991	S	46679	                  Pseudomonas mucidolens
0.02	648496	648496	S	47879	                  Pseudomonas corrugata
0.02	635870	497957	S	200451	                  Pseudomonas poae
0.01	137913	137913	S1	1282356	                    Pseudomonas poae RE*1-1-14
0.02	598297	598297	S	76760	                  Pseudomonas rhodesiae
0.02	578726	578726	S	651740	                  Pseudomonas cedrina
0.02	573909	573909	S	183795	                  Pseudomonas mediterranea
0.02	539655	539655	S	129817	                  Pseudomonas brenneri
0.02	438767	438767	S	169669	                  Pseudomonas extremorientalis
0.01	349734	349734	S	75588	                  Pseudomonas libanensis
0.01	253934	253934	S	76761	                  Pseudomonas veronii
0.5	13044139	961391	G1	136845	                Pseudomonas putida group
0.33	8649976	6312039	S	303	                  Pseudomonas putida
0.02	607844	607844	S1	390235	                    Pseudomonas putida W619
0.02	453221	453221	S1	1384061	                    Pseudomonas putida S13.1.2
0.01	386286	386286	S1	1211579	                    Pseudomonas putida NBRC 14164
0.01	205577	205577	S1	1215088	                    Pseudomonas putida HB3267
0.01	170981	170981	S1	1331671	                    Pseudomonas putida H8234
0	126458	126458	S1	1081940	                    Pseudomonas putida B6-2
0	62453	62453	S1	1042876	                    Pseudomonas putida S16
0	58471	58471	S1	1215087	                    Pseudomonas putida S12
0	57825	57825	S1	351746	                    Pseudomonas putida F1
0	57352	57352	S1	76869	                    Pseudomonas putida GB-1
0	42500	42500	S1	231023	                    Pseudomonas putida ND6
0	40646	40646	S1	931281	                    Pseudomonas putida BIRD-1
0	40425	40425	S1	1150601	                    Pseudomonas putida JB
0	27807	27807	S1	1193499	                    Pseudomonas putida SJTE-1
0	91	91	S1	160488	                    Pseudomonas putida KT2440
0.04	1141311	1136674	S	76759	                  Pseudomonas monteilii
0	4546	4546	S1	1435044	                    Pseudomonas monteilii SB3078
0	91	91	S1	1435058	                    Pseudomonas monteilii SB3101
0.03	711038	101614	S	47880	                  Pseudomonas fulva
0.02	609424	609424	S1	743720	                    Pseudomonas fulva 12-X
0.02	644624	644624	S	70775	                  Pseudomonas plecoglossicida
0.02	604249	604249	S	47885	                  Pseudomonas oryzihabitans
0.01	331550	170855	S	78327	                  Pseudomonas mosselii
0.01	160695	160695	S1	1388763	                    Pseudomonas mosselii SJ10
0.4	10386183	98648	G1	136841	                Pseudomonas aeruginosa group
0.18	4770703	4496216	S	287	                  Pseudomonas aeruginosa
0	101860	101860	S1	381754	                    Pseudomonas aeruginosa PA7
0	32005	32005	S1	1415629	                    Pseudomonas aeruginosa MTB-1
0	18563	18563	S1	1457392	                    Pseudomonas aeruginosa PA96
0	15410	15410	S1	1448140	                    Pseudomonas aeruginosa YL84
0	14931	14931	S1	1280938	                    Pseudomonas aeruginosa B136-33
0	14290	14290	S1	1093787	                    Pseudomonas aeruginosa DK2
0	12460	12460	S1	1400868	                    Pseudomonas aeruginosa VRFPA04
